,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Date
0,fortuna foothills,32.0,-114.0,87.8,48,1,3.36,2020-08-08
1,fortuna foothills,32.0,-114.2,87.8,48,1,3.36,2020-08-08
2,san luis rio colorado,32.0,-114.4,87.8,48,1,3.36,2020-08-08
3,estacion coahuila,32.0,-114.6,87.8,48,1,3.36,2020-08-08
4,estacion coahuila,32.0,-114.8,87.8,48,1,3.36,2020-08-08
5,estacion coahuila,32.0,-115.0,81.61,46,0,3.49,2020-08-08
6,estacion coahuila,32.0,-115.2,81.59,23,0,3.36,2020-08-08
7,delta,32.0,-115.4,82.08,15,0,4.63,2020-08-08
8,delta,32.0,-115.6,81.28,14,0,6.69,2020-08-08
9,progreso,32.0,-115.8,65.64,23,0,7.87,2020-08-08
10,ensenada,32.0,-116.0,66.99,89,0,3.0,2020-08-08
11,ensenada,32.0,-116.2,66.99,89,0,3.0,2020-08-08
12,ensenada,32.0,-116.4,66.99,89,0,3.0,2020-08-08
13,el sauzal,32.0,-116.6,65.93,82,5,1.77,2020-08-08
14,el sauzal,32.0,-116.8,64.87,82,5,5.59,2020-08-08
15,primo tapia,32.0,-117.0,64.72,82,5,12.88,2020-08-08
16,primo tapia,32.0,-117.2,64.78,82,5,13.67,2020-08-08
17,rosarito,32.0,-117.4,64.99,87,28,1.01,2020-08-08
18,rosarito,32.0,-117.6,64.99,87,29,1.01,2020-08-08
19,rosarito,32.0,-117.8,65.25,89,9,15.3,2020-08-08
20,rosarito,32.0,-118.0,64.67,87,0,15.99,2020-08-08
21,rosarito,32.0,-118.2,64.24,87,0,16.44,2020-08-08
22,coronado,32.0,-118.4,63.81,87,0,17.11,2020-08-08
23,coronado,32.0,-118.6,63.37,88,0,17.96,2020-08-08
24,coronado,32.0,-118.8,62.98,89,0,18.86,2020-08-08
25,rancho palos verdes,32.0,-119.0,62.69,90,0,19.51,2020-08-08
26,rancho palos verdes,32.0,-119.2,62.55,89,0,19.75,2020-08-08
27,rancho palos verdes,32.0,-119.4,62.4,89,0,19.6,2020-08-08
28,rancho palos verdes,32.0,-119.6,62.26,90,0,19.33,2020-08-08
29,port hueneme,32.0,-119.8,62.15,90,4,19.08,2020-08-08
30,port hueneme,32.0,-120.0,62.15,90,16,18.81,2020-08-08
31,port hueneme,32.0,-120.2,62.29,90,29,18.48,2020-08-08
32,port hueneme,32.0,-120.4,62.44,89,37,18.28,2020-08-08
33,isla vista,32.0,-120.6,62.58,89,32,18.23,2020-08-08
34,isla vista,32.0,-120.8,62.73,88,17,18.39,2020-08-08
35,isla vista,32.0,-121.0,62.87,88,4,18.68,2020-08-08
36,lompoc,32.0,-121.2,63.01,88,0,18.81,2020-08-08
37,lompoc,32.0,-121.4,63.16,87,0,18.77,2020-08-08
38,lompoc,32.0,-121.6,63.23,87,0,18.57,2020-08-08
39,lompoc,32.0,-121.8,63.27,87,0,18.28,2020-08-08
40,lompoc,32.0,-122.0,63.41,86,4,18.03,2020-08-08
41,lompoc,32.0,-122.2,63.55,85,0,17.9,2020-08-08
42,lompoc,32.0,-122.4,63.7,85,0,17.78,2020-08-08
